frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
156,5.0,867.1350309350844 680.8528629178397 1397.0546018649222 1077.7195296431828,1069.2315673828125 956.742431640625 1167.2662353515625 1010.875244140625,0.7123633027076721,SPF-787,0.9691388010978699
156,66.0,273.72022540721275 503.39910705906317 737.3876153704389 941.2303843545953,455.5537109375 752.5178833007812 536.124267578125 801.6491088867188,0.4792625904083252,SPF-9A9,0.7332717776298523
157,5.0,864.3048016582034 682.9060034553013 1396.1316135139518 1077.5313893684165,1068.4068603515625 957.1114501953125 1167.58740234375 1013.12451171875,0.7147093415260315,SPF-787,0.9688261151313782
157,66.0,275.1530868173378 497.76797892649927 738.4312174198931 943.5117708552813,454.97039794921875 754.152099609375 535.459716796875 802.9508056640625,0.5731213688850403,SPF-9A9,0.9714733958244324
158,5.0,858.6408066133582 685.333319211101 1393.8644462298048 1077.226529821423,1065.46337890625 959.9782104492188 1167.42724609375 1015.7067260742188,0.715432345867157,SPF-787,0.9797552227973938
158,66.0,271.55607543995507 505.8645109179637 737.3745007782451 953.0294873469383,449.4819030761719 752.0760498046875 534.8707275390625 800.859375,0.41096794605255127,SPF-9A9,0.9176771640777588
159,5.0,855.7590599919218 688.0852219368342 1394.8125027544893 1076.3094995967988,1067.8299560546875 963.8311157226562 1168.9454345703125 1016.6581420898438,0.7040067315101624,SPF-787,0.9528693556785583
159,66.0,268.8913173984987 501.3903178716109 738.3885610239348 953.8935225777966,451.71624755859375 756.2634887695312 534.8735961914062 807.9263305664062,0.6117414832115173,SPF-9A9,0.9455860257148743
160,5.0,854.0528836862932 690.9320918591602 1395.8823369323077 1074.743315465362,1066.371337890625 964.7327270507812 1168.54296875 1020.6703491210938,0.7028259038925171,SPF-787,0.9799667000770569
161,5.0,853.4109183801759 692.5461966522209 1396.6717268369473 1073.5998453695283,1068.8577880859375 968.9719848632812 1169.403564453125 1022.4907836914062,0.6917229294776917,SPF-787,0.9620032906532288
161,66.0,268.17408573559436 515.6529189326795 740.1235409748165 961.2386980164263,451.96002197265625 755.48388671875 536.2405395507812 808.62939453125,0.6624591946601868,SPF-9A9,0.9560635685920715
162,5.0,854.0752966157459 693.7899821416837 1398.1549115356331 1072.61872012834,1065.580078125 968.4281616210938 1167.6881103515625 1023.7377319335938,0.7007394433021545,SPF-787,0.9605750441551208
163,5.0,854.1554665714266 695.3799883559788 1396.7929341784024 1072.5293118978811,1065.6904296875 969.8340454101562 1165.67041015625 1022.7225952148438,0.6918028593063354,SPF-787,0.9645075798034668
163,66.0,270.3438594561467 516.981746978998 741.7025201275706 958.9798327389221,452.46124267578125 756.6683349609375 532.8564453125 808.95703125,0.6406196355819702,SPF-9A9,0.969526469707489
164,5.0,852.8162871231154 696.5273109395257 1395.9784964407065 1071.9450602501267,1061.534423828125 970.6744995117188 1162.159912109375 1024.257080078125,0.6855764389038086,SPF-787,0.9633055329322815
165,5.0,850.7586787344424 697.7371534254047 1392.94909731946 1071.3673478217688,1059.9605712890625 973.142578125 1160.6561279296875 1028.2686767578125,0.7065838575363159,SPF-787,0.9746991395950317
165,66.0,272.78251001639666 512.1023563804009 741.8054586681592 955.9835635026737,450.32086181640625 761.417724609375 534.3956298828125 806.86083984375,0.5561903119087219,SPF-9A9,0.9785009026527405
166,5.0,850.4024454508298 699.6953840037964 1393.7394269883366 1071.4986443684822,1060.292236328125 977.987548828125 1158.8486328125 1030.6376953125,0.6965881586074829,SPF-787,0.9726980924606323
166,66.0,270.1451128180835 506.29795010861073 739.5479854885131 954.483281551864,452.7759704589844 761.1461791992188 537.8406982421875 810.1719360351562,0.4022217392921448,SPF-9A9,0.9627318382263184
167,5.0,851.0923286537751 701.2093614150854 1396.041986131651 1071.1141345011686,1056.880126953125 980.7310791015625 1158.017822265625 1033.637451171875,0.696151614189148,SPF-787,0.96711665391922
167,66.0,271.7890792301838 503.91220661514757 740.6552009872962 955.9126955102486,452.63262939453125 758.9716186523438 535.5116577148438 813.7377319335938,0.6895857453346252,SPF-9A9,0.9638490676879883
168,5.0,848.4354098853026 702.8707215923214 1396.3295432625346 1071.2854940718512,1057.76123046875 978.7967529296875 1160.825439453125 1033.4342041015625,0.7141491770744324,SPF-787,0.9834213852882385
168,66.0,268.3523383689119 509.7327601012109 741.2846500470985 958.7847266858746,451.77325439453125 761.1571655273438 537.49560546875 815.8471069335938,0.5213414430618286,SPF-9A9,0.94961017370224
169,5.0,846.3954588649735 705.0257332197335 1395.4122086846673 1072.4436523118818,1058.470703125 981.8060302734375 1158.1630859375 1035.3837890625,0.699410617351532,SPF-787,0.9765048623085022
169,66.0,186.03330925970874 505.03005068600777 706.6720039236529 959.1022099406637,453.334716796875 763.5862426757812 537.4454956054688 815.4135131835938,0.5409684181213379,SPF-9A9,0.9604781866073608
170,5.0,847.3104632162576 706.5356817378915 1396.6553218960757 1073.2574950365529,1058.421142578125 982.0856323242188 1155.385498046875 1036.97216796875,0.6873261332511902,SPF-787,0.9893589615821838
170,66.0,222.24718540041624 510.87104424208974 733.6438855491565 960.9573266480304,451.6308288574219 762.2552490234375 534.6406860351562 816.4815673828125,0.6821965575218201,SPF-9A9,0.9375839233398438
171,5.0,848.0772350701029 707.4027150078011 1397.1478757908715 1073.1974749236606,1055.07177734375 983.4409790039062 1152.013671875 1041.359375,0.6977519392967224,SPF-787,0.9671326279640198
171,66.0,231.50894152113136 504.4697467688502 739.8509966653287 959.0911893802293,449.8986511230469 761.6336059570312 535.24853515625 817.599609375,0.6685409545898438,SPF-9A9,0.9600995779037476
172,5.0,848.9629170189316 707.3485948123512 1397.258336506429 1072.1959062031028,1054.938720703125 984.3411865234375 1153.57470703125 1041.610595703125,0.6995074152946472,SPF-787,0.9784992933273315
172,66.0,241.86339402562064 510.7650451084219 743.9927871076628 961.4084200370189,452.0285339355469 762.26513671875 535.3094482421875 816.7313232421875,0.6873658895492554,SPF-9A9,0.97596275806427
173,5.0,849.0165242151459 707.7612785441886 1395.1526949611136 1071.7090445631043,1055.324951171875 986.5907592773438 1153.8681640625 1043.75146484375,0.6933140158653259,SPF-787,0.9909999966621399
173,66.0,251.47780958288635 519.8315186083236 745.8060333388347 965.4108752631088,446.53125 762.19970703125 536.3304443359375 816.6927490234375,0.6858627796173096,SPF-9A9,0.9825879335403442
174,5.0,845.4880097359362 708.4139685454718 1392.3368572437414 1070.9778855074037,1057.1044921875 990.1847534179688 1157.80517578125 1046.52734375,0.6966643333435059,SPF-787,0.9824572205543518
174,66.0,258.4718698297986 509.07711152364857 745.7643544961628 960.0715702814801,449.4267883300781 762.7919311523438 536.29296875 816.9369506835938,0.680671751499176,SPF-9A9,0.9521632790565491
175,5.0,844.8191031765427 710.9766671132892 1390.490009812253 1071.9660847691887,1055.682861328125 991.7352905273438 1154.30615234375 1047.390625,0.6939398050308228,SPF-787,0.9815549850463867
175,66.0,259.649937109202 514.8502757879105 740.6880393488011 963.3384879518985,447.6014404296875 761.8179931640625 534.2002563476562 816.6661376953125,0.6783977150917053,SPF-9A9,0.9475869536399841
176,66.0,273.2837183836963 516.0190713609356 742.3286433188943 963.7725382670812,449.6070556640625 762.6557006835938 535.3807983398438 817.4954223632812,0.6913461685180664,SPF-9A9,0.955531120300293
176,5.0,841.8062325139249 711.3338755553207 1387.9555466409374 1071.55969502589,1051.1136474609375 992.4107666015625 1152.931640625 1048.06201171875,0.6815038919448853,SPF-787,0.9718570709228516
177,5.0,841.1770258494305 712.6746108402075 1385.750412343283 1072.3621141679691,1049.4278564453125 990.9369506835938 1150.911865234375 1046.638427734375,0.7015215754508972,SPF-787,0.9739347696304321
177,66.0,273.0509886447863 517.9310791258189 737.7311451686755 963.7452588728378,448.8299560546875 763.2581176757812 535.489013671875 816.3305053710938,0.6690779328346252,SPF-9A9,0.9620436429977417
178,66.0,274.02254235197654 518.7177675047562 735.9280588086434 963.6028703078302,450.189208984375 763.6832885742188 535.0462036132812 816.8215942382812,0.6945216059684753,SPF-9A9,0.9602805972099304
178,5.0,839.4240794596078 713.4246614204933 1385.4215597363138 1072.663552076422,1048.50927734375 991.3628540039062 1151.4423828125 1047.0634765625,0.6930050849914551,SPF-787,0.9747409224510193
179,5.0,839.6749409819113 715.3892191566096 1384.7498589167208 1074.78479400501,1048.10546875 996.089111328125 1150.3900146484375 1053.7252197265625,0.7137506604194641,SPF-787,0.9831891059875488
179,66.0,227.15518863069943 512.2065519600515 714.6717036176145 962.3960283809242,447.0479736328125 762.4493408203125 534.2720947265625 816.439453125,0.6878473162651062,SPF-9A9,0.9569841027259827
180,5.0,838.1696978195965 716.8152336622423 1382.8824634210769 1075.6700342048114,1046.3616943359375 998.5014038085938 1149.9964599609375 1057.383056640625,0.7202478051185608,SPF-787,0.9757874608039856
180,66.0,251.54848153162317 517.541572012949 730.6438659581734 965.7605655561688,446.2420349121094 766.6329345703125 535.315673828125 820.295654296875,0.6800500154495239,SPF-9A9,0.9754371643066406
181,5.0,833.1219946281055 718.148111737986 1381.299417295196 1075.8634355531165,1038.48681640625 1001.1088256835938 1148.5330810546875 1060.58837890625,0.7094270586967468,SPF-787,0.9790152907371521
181,66.0,171.71462369825804 516.1550862056224 697.6175500230731 962.4955249787106,440.67095947265625 767.2970581054688 533.5970458984375 822.5315551757812,0.6338649988174438,SPF-9A9,0.9581910967826843
182,5.0,832.0300941568776 718.7258305522247 1381.2041316591321 1075.7532410713666,1038.6412353515625 1001.4094848632812 1148.045654296875 1060.0771484375,0.7048055529594421,SPF-787,0.9641167521476746
182,66.0,215.35493948759574 516.2230504835713 728.0425700421574 962.6272814888391,443.2343444824219 768.608642578125 535.68115234375 821.7938232421875,0.6767999529838562,SPF-9A9,0.968276858329773
183,5.0,830.3872952996697 719.6873006594477 1379.9098934016497 1075.640506304202,1039.6580810546875 1002.810791015625 1145.754150390625 1061.7103271484375,0.7107827663421631,SPF-787,0.9688334465026855
183,66.0,152.4730605459224 509.5658156580201 703.4694788456299 960.5511052235622,441.8187561035156 766.7288818359375 535.3839111328125 821.6890869140625,0.462147057056427,SPF-9A9,0.9574661254882812
184,66.0,119.56020305829566 514.4676713642309 697.6204491512877 962.0720868660562,440.44097900390625 767.8150634765625 531.4310302734375 821.5457153320312,0.698384702205658,SPF-9A9,0.9608809351921082
184,5.0,822.9558957900402 722.2336248717272 1377.5772944100354 1076.0838572181958,1040.635009765625 1004.92822265625 1144.16650390625 1065.482666015625,0.6980736255645752,SPF-787,0.955747663974762
185,5.0,822.5362745375937 725.4067709694193 1378.775227818278 1076.6844252369608,1032.2032470703125 1007.7288208007812 1142.300537109375 1068.068359375,0.7117792963981628,SPF-787,0.9617441296577454
185,127.0,174.39763057883982 539.8180325458745 748.5026843318553 962.1014809394683,440.3480224609375 769.3817138671875 534.1546020507812 822.4326782226562,0.5880440473556519,SPF-9A9,0.9561181664466858
186,5.0,819.4063148735233 727.3008956344153 1378.7208195210385 1076.4584187017786,1033.123046875 1009.108154296875 1141.569091796875 1070.5008544921875,0.6962310671806335,SPF-787,0.9681755304336548
187,5.0,816.5063193586959 727.9502123239415 1379.1136677747188 1075.7986441957814,1035.12060546875 1009.1244506835938 1143.484375 1069.814453125,0.7038978338241577,SPF-787,0.9596667289733887
188,5.0,816.9765380589822 728.1731262812341 1381.3960010169824 1074.8554737943127,1034.187744140625 1008.9523315429688 1140.55810546875 1068.3447265625,0.7045193910598755,SPF-787,0.9506886601448059
189,127.0,208.0214530680068 543.2593890816116 733.8484868953203 955.3649654950474,435.4815673828125 764.5557861328125 527.700439453125 822.6022338867188,0.6943913102149963,SPF-9A9,0.9509526491165161
189,5.0,814.9317106608437 729.3558851643057 1380.9439815444503 1074.695450207735,1033.508544921875 1011.3978271484375 1138.176025390625 1071.4547119140625,0.6796742677688599,SPF-787,0.9759038090705872
190,5.0,812.1816050925565 729.9982500137726 1380.3266838151442 1074.0800513085082,1030.4521484375 1014.543212890625 1136.83837890625 1070.419677734375,0.6885260939598083,SPF-787,0.9663118124008179
190,127.0,235.85295971504289 550.1566287185119 737.8990644568346 956.4363255420269,437.7450256347656 764.6482543945312 527.779541015625 823.5646362304688,0.5646180510520935,SPF-9A9,0.9616283178329468
191,5.0,811.1593893901672 731.4853666080605 1382.2712975817703 1073.6260979965784,1030.288330078125 1015.7913208007812 1134.613037109375 1070.062744140625,0.6869255304336548,SPF-787,0.9558722376823425
191,127.0,248.04389336965457 545.7036664837151 736.6308570156341 952.6168293527214,436.0816955566406 763.218017578125 527.1822509765625 823.6072998046875,0.6694872379302979,SPF-9A9,0.9453343152999878
192,5.0,810.5748024205184 732.2840390506092 1380.7617667344882 1073.108629157669,1032.2490234375 1016.11376953125 1135.74755859375 1070.69970703125,0.6838365793228149,SPF-787,0.9600278735160828
192,127.0,254.86845091019856 545.1316744538643 732.0943686835794 951.4666285607522,435.53240966796875 765.6461181640625 532.1904296875 822.8538818359375,0.5572237372398376,SPF-9A9,0.9205905199050903
193,5.0,809.443169411957 732.2397360128947 1380.9700981795909 1072.7573111783645,1033.858154296875 1016.344482421875 1136.9271240234375 1071.26953125,0.6819444298744202,SPF-787,0.950675368309021
193,127.0,259.997034754573 544.0563132641414 728.9061689128387 949.4841140400258,435.6837158203125 767.046630859375 534.6751098632812 821.690673828125,0.6781450510025024,SPF-9A9,0.9048396348953247
194,5.0,811.4734801999166 732.7357777262869 1383.9024005915317 1072.9461335043861,1034.455322265625 1015.7092895507812 1138.742919921875 1072.6484375,0.6801533699035645,SPF-787,0.9506387710571289
194,127.0,264.50639521758126 537.150987871009 726.8216535860676 945.2419157497568,439.5639953613281 766.631103515625 532.9248046875 820.828125,0.6742450594902039,SPF-9A9,0.9394934773445129
195,127.0,183.1758469448712 530.6195757764756 695.111581460629 944.9321390653281,440.2257080078125 766.3276977539062 535.771484375 821.3369750976562,0.7017692923545837,SPF-9A9,0.9544845223426819
196,127.0,230.80853481667546 521.9218206915751 725.302776988696 943.9173631017667,443.2220458984375 768.0540161132812 536.1704711914062 821.81982421875,0.6769553422927856,SPF-9A9,0.9584118127822876
197,127.0,246.830201226933 526.8458687862906 730.5834415313017 949.6313358786724,441.6671447753906 767.450927734375 537.227294921875 822.91943359375,0.6939772963523865,SPF-9A9,0.9485445022583008
201,127.0,256.33992015217245 531.832174587099 724.4603149821077 957.3872983489439,445.5994873046875 768.0188598632812 529.2074584960938 822.8585815429688,0.6980959177017212,SPF-9A9,0.9309158325195312
202,127.0,257.8327682508944 532.7691656539723 723.3427411563587 959.3252993206438,448.50787353515625 767.5618286132812 532.7974853515625 822.7835083007812,0.6588695049285889,SPF-9A9,0.9280914664268494
203,127.0,263.09659792819923 529.3992602670082 726.58371903434 958.8222891023643,452.8801574707031 768.3381958007812 533.56298828125 820.9854125976562,0.6796716451644897,SPF-9A9,0.913932740688324
204,127.0,262.91568823681547 528.271120577091 724.2722741584689 959.0562534088402,456.79852294921875 765.8516235351562 539.44189453125 820.4075317382812,0.4394659101963043,SPF-9A9,0.9601193070411682
205,127.0,264.81441349861234 520.0639605937699 725.6388103207247 956.7781512441868,459.5488586425781 766.348388671875 532.875244140625 820.9368896484375,0.6761898994445801,SPF-9A9,0.9805071353912354
206,127.0,263.4268608012029 519.9430787715448 723.9274968240411 956.2839476595855,462.66302490234375 766.9530029296875 532.9982299804688 823.0001220703125,0.29991093277931213,SPF-9A9,0.9333049058914185
207,127.0,263.56304209492976 515.0900074597263 724.014743245744 955.9337092815439,465.62890625 770.832275390625 536.07470703125 823.48681640625,0.20118418335914612,SPF-9A9,0.9782552123069763
208,127.0,263.30800415428234 512.234781761111 725.2680033761637 958.659174485764,467.7675476074219 767.3262939453125 533.6917724609375 820.0794677734375,0.6796494126319885,SPF-9A9,0.9816691279411316
209,127.0,263.13017246156403 516.493930884741 725.4864411452284 963.2325695081641,458.83685302734375 718.7421264648438 575.058837890625 770.4298095703125,0.6479533314704895,SPF-9A9,0.652355968952179
210,127.0,268.0458545693466 509.24345134723467 731.1178464970008 962.3632261472051,478.97882080078125 766.3214721679688 535.574462890625 818.5504760742188,0.6436738967895508,SPF-9A9,0.9836379885673523
211,127.0,267.4868669306114 515.6334939079828 729.3723428180126 966.9866348661982,459.2866516113281 716.7339477539062 577.3780517578125 770.0531616210938,0.6323648691177368,SPF-9A9,0.5137651562690735
212,127.0,269.6763985778488 508.6501022019835 732.2675114574963 965.4356528479458,475.2340393066406 763.0799560546875 531.351318359375 818.3743286132812,0.6753762364387512,SPF-9A9,0.9883573651313782
213,127.0,265.212941725693 512.9637833021301 727.5007933229459 968.4375732026323,481.9254455566406 767.11181640625 533.0882568359375 816.9522705078125,0.4863344132900238,SPF-9A9,0.9915594458580017
214,127.0,263.5346908120494 514.7440307829055 726.3426923916084 969.5243147628288,480.28546142578125 764.2220458984375 531.402099609375 815.135498046875,0.6001551747322083,SPF-9A9,0.9879313111305237
215,127.0,267.769017110254 507.1722060846637 731.2625824517836 964.2636565443565,485.39996337890625 764.2340698242188 533.4210205078125 813.7531127929688,0.34444063901901245,SPF-9A9,0.997684895992279
216,127.0,264.87224777028416 512.6763703122166 728.9645974266143 968.5500186912371,483.072509765625 762.8432006835938 533.8642578125 813.2656860351562,0.455413818359375,SPF-9A9,0.9954054355621338
220,127.0,178.27672132393297 501.02431288864943 695.0120624319425 971.6804341468536,475.63494873046875 759.1620483398438 533.779052734375 818.2622680664062,0.5111218094825745,SPF-9A9,0.9944967031478882
221,127.0,222.21473935771334 509.2633328304282 724.1489661598873 975.9363213295585,491.37127685546875 764.3184814453125 534.4818725585938 816.8177490234375,0.2318558394908905,SPF-9A9,0.9804681539535522
224,127.0,148.818287620427 508.80611404812163 702.921352632248 978.255900706082,432.4648132324219 755.3230590820312 533.5635986328125 816.6707153320312,0.3432507812976837,SPF-9A9,0.9895794987678528
228,127.0,249.91104068738193 514.7895847968867 737.535411373832 974.9006918067829,449.9376525878906 715.9422607421875 575.081298828125 768.7359619140625,0.5734348893165588,SPF-9A9,0.6861659288406372
229,127.0,254.376950893383 514.709042786747 735.5300258077648 974.409033951008,431.34539794921875 755.2723388671875 532.9308471679688 819.5115966796875,0.3170451521873474,SPF-9A9,0.9469664096832275
232,127.0,259.7128496349866 522.1414533143859 729.7643702252896 976.1227970320131,428.7871398925781 756.181640625 534.5491333007812 818.0079345703125,0.2972185015678406,SPF-9A9,0.6133022904396057
233,127.0,261.05165268427515 519.9069390214565 727.6072186650576 974.2242423515602,435.5063781738281 758.1699829101562 533.2308349609375 818.6317749023438,0.43484729528427124,SPF-9A9,0.9696956872940063
234,127.0,261.564071733966 517.8959356158086 727.0205011801247 973.2789488866044,435.0853271484375 758.8494873046875 533.0381469726562 817.3738403320312,0.5137673020362854,SPF-9A9,0.9588699340820312
235,127.0,260.2470746208388 520.4253767435389 725.2926160179518 974.7735654012658,436.7818603515625 757.8299560546875 532.266845703125 819.1805419921875,0.5683295130729675,SPF-9A9,0.7630751729011536
236,127.0,177.66289991412208 507.2859288894034 691.724021794633 972.4370419011087,434.51763916015625 756.578857421875 534.9747314453125 818.614990234375,0.2773263454437256,SPF-9A9,0.9476273059844971
237,127.0,137.5793177852271 506.7256407140903 687.6858438635802 974.1033628319337,435.24517822265625 758.0980224609375 533.5277709960938 821.1668701171875,0.49106165766716003,SPF-9A9,0.9811043739318848
239,127.0,101.21002472785221 505.16385087061224 696.3984071967315 974.9625297788299,436.73004150390625 757.3187255859375 528.1340942382812 815.9351806640625,0.25285759568214417,SPF-9A9,0.9571332931518555
247,127.0,229.703668305722 505.28083435192195 736.9041423046805 963.9626720526848,422.6424865722656 751.9293823242188 520.3482666015625 807.0097045898438,0.5362035632133484,SPF-9A9,0.8282846808433533
248,127.0,238.08959230901058 502.31304273870535 732.897444042291 963.5868075570767,441.0478820800781 750.7498168945312 524.2386474609375 805.2994995117188,0.5734591484069824,SPF-9A9,0.9957424998283386
249,127.0,244.1794842983998 501.11108724439816 729.2991230071011 964.4101764863141,448.83465576171875 750.3623657226562 524.46484375 806.1036987304688,0.41976410150527954,SPF-9A9,0.8402591347694397
250,127.0,251.339698622111 500.83615289164345 731.5079848997962 964.5437499748703,431.3660888671875 751.17822265625 525.5020751953125 803.866455078125,0.6463285684585571,SPF-9A9,0.8536400198936462
251,127.0,251.2622492800194 500.2772543056261 728.3580632009703 963.0678945978817,430.16485595703125 744.7674560546875 527.2984008789062 803.4141845703125,0.6170527935028076,SPF-9A9,0.7669301629066467
252,127.0,250.58882668763843 497.18400394574826 726.372868274093 959.1322379182592,433.1593322753906 739.3269653320312 522.746826171875 801.0538330078125,0.6811239123344421,SPF-9A9,0.8231406211853027
253,127.0,251.65043705842942 489.1260558511534 725.7722124486372 953.1196408456525,442.5581359863281 743.42431640625 526.3247680664062 799.4088134765625,0.5713852643966675,SPF-9A9,0.9477928876876831
254,127.0,249.15091974160552 491.3092846922026 723.8239049897963 954.950202510738,433.63897705078125 740.222412109375 521.6255493164062 799.6136474609375,0.6890537738800049,SPF-9A9,0.9199939370155334
255,127.0,250.22283193079642 494.4881641449606 723.2894688915696 955.6825349147562,441.2523193359375 743.4083862304688 526.3071899414062 798.4213256835938,0.4842764735221863,SPF-9A9,0.9924254417419434
256,127.0,247.27277268674493 490.4152740955965 720.5975171099907 951.7457704341709,436.6022644042969 741.6826171875 526.3137817382812 798.0296630859375,0.67762690782547,SPF-9A9,0.9308840036392212
260,127.0,245.58191073046615 486.9410685482924 719.094667405085 952.2767820274519,439.6839294433594 738.0267333984375 522.1456298828125 793.516845703125,0.711152195930481,SPF-9A9,0.9551072716712952
264,205.0,384.667565768264 433.3927128326483 780.9888694981739 786.581204689843,454.31976318359375 723.7307739257812 541.4310302734375 778.6036376953125,0.6689729690551758,SPF-9A9,0.9615296125411987
265,205.0,393.2730962888513 434.296283987592 781.6904814751908 795.3353770783274,458.4920654296875 719.7105102539062 547.2132568359375 774.9173583984375,0.6669030785560608,SPF-9A9,0.9551334977149963
266,209.0,293.58405314992046 483.8342769127602 750.4310990061995 921.8524863923818,467.1107482910156 721.008544921875 551.1634521484375 772.9319458007812,0.6922183036804199,SPF-9A9,0.9696406126022339
267,209.0,208.47202307530642 461.131622320658 724.8489391398914 919.8032820884562,473.4088439941406 712.5631103515625 557.8577880859375 765.5015869140625,0.7060986161231995,SPF-9A9,0.9547905325889587
268,209.0,171.6623298616883 446.4863229107052 722.1878672818759 911.1145693649933,509.0111389160156 662.0121459960938 599.4769287109375 706.5942993164062,0.4316242039203644,SPF-9A9,0.6886314749717712
269,209.0,247.16153069979427 455.3436951798701 756.074263841201 902.4352507775939,485.5732727050781 696.1580200195312 566.2301025390625 751.8220825195312,0.6818830370903015,SPF-9A9,0.9607990980148315
270,209.0,201.18387885921658 437.19448857680413 735.5362032610583 882.3312532859347,489.2163391113281 674.869140625 571.52294921875 728.138671875,0.6434919238090515,SPF-9A9,0.9315213561058044
271,209.0,267.2669390106097 426.1439509690079 761.0564156327129 855.0800304045351,493.2103271484375 647.7518920898438 573.4669189453125 700.77978515625,0.6915097236633301,SPF-9A9,0.9358950853347778
272,209.0,301.83088158024356 399.52333029499664 770.9446914609266 816.8654597476723,497.59039306640625 612.7116088867188 582.1497802734375 663.9918212890625,0.5705042481422424,SPF-9A9,0.9516063332557678
273,209.0,320.9673879337308 365.2994414148624 771.8230438153998 776.7553303293131,504.83917236328125 578.5139770507812 582.6110229492188 629.4429321289062,0.6918333172798157,SPF-9A9,0.9462243318557739
274,209.0,334.9191199894541 336.00024301603935 772.1156364333664 740.3218054374729,505.39813232421875 540.9998779296875 585.2863159179688 593.2393798828125,0.5370814800262451,SPF-9A9,0.9521679282188416
275,209.0,344.7860910494231 305.5853360798865 772.7938329718152 704.7086098224793,511.124267578125 511.0679626464844 586.5516357421875 563.81005859375,0.6082939505577087,SPF-9A9,0.9562450647354126
276,209.0,352.2200300465438 295.40642887071436 768.9127897863066 679.4587355734884,516.4625244140625 505.9228820800781 594.1155395507812 553.7352294921875,0.5940550565719604,SPF-9A9,0.9509944915771484
277,209.0,359.33884108712573 293.4470544912687 765.4361208134831 668.4886360883359,520.791015625 506.8624267578125 588.2205810546875 547.4453735351562,0.2342255413532257,SPF-9A9,0.949178159236908
278,209.0,366.6393864629001 284.7674743700641 764.0901218099852 656.6617529150085,522.880126953125 501.7539367675781 602.4425048828125 551.898681640625,0.5026168823242188,SPF-9A9,0.9029057621955872
279,209.0,374.574922816802 288.27724968859957 764.0686463636819 651.3014205266535,534.0015869140625 506.4179992675781 604.504150390625 552.1383056640625,0.6326978206634521,SPF-9A9,0.939302384853363
281,209.0,388.3329338699508 298.85501838034895 765.6390231192964 650.8261287482156,540.045166015625 506.1629333496094 622.4256591796875 552.9173583984375,0.6251876354217529,SPF-9A9,0.9687203764915466
282,209.0,394.52542499620694 296.1004774192519 768.6387613951058 652.9159105908,546.9204711914062 506.5155029296875 619.532958984375 553.3172607421875,0.6147063970565796,SPF-9A9,0.9296655654907227
283,209.0,405.37158056190106 305.100166027152 775.7943604340546 659.4768211215087,552.7492065429688 508.2986755371094 624.565673828125 554.1314697265625,0.6463531851768494,SPF-9A9,0.9570633769035339
284,209.0,411.0710019106616 310.85110554834677 778.0210607462384 661.6467831450971,559.2677001953125 515.4193115234375 626.5289306640625 560.009521484375,0.35810181498527527,SPF-9A9,0.972889244556427
285,209.0,416.6899690612346 314.00454059702633 778.7961536991664 664.4794159493051,559.7488403320312 506.27227783203125 627.6286010742188 560.5407104492188,0.49747082591056824,SPF-9A9,0.9385863542556763
286,209.0,419.7896771530785 319.58819250389126 777.9998679451691 665.8118728059516,567.265380859375 511.7983703613281 632.1290283203125 561.9617919921875,0.4421911835670471,SPF-9A9,0.9401459097862244
290,209.0,440.99869105111713 347.6772502300533 782.4945233980526 672.9537349619543,580.5084228515625 531.9860229492188 659.5059814453125 588.2118530273438,0.2746463418006897,SPF-9A9,0.8448553085327148
291,209.0,445.68675105012903 361.18866715266677 788.4386679400516 683.4918874353391,581.9985961914062 533.1846923828125 666.742919921875 591.23095703125,0.33916810154914856,SPF-9A9,0.9414052963256836
292,209.0,447.7737627836692 377.94584170480255 788.871595614176 690.0092260628456,584.6838989257812 550.9498901367188 665.0657348632812 598.4064331054688,0.4734826982021332,SPF-9A9,0.8837509751319885
293,209.0,450.9250594978042 385.6337582835291 794.195434389762 699.44935021258,580.43603515625 555.0296630859375 668.652587890625 604.92041015625,0.5675630569458008,SPF-9A9,0.7949908971786499
294,209.0,455.12997500262645 399.3691308021594 797.6882393766748 709.8588828155277,595.923828125 570.6717529296875 655.5443725585938 606.5948486328125,0.47033125162124634,SPF-9A9,0.706987738609314
295,209.0,457.40090929815034 405.785373306858 798.6291340748485 718.8051574598821,588.4327392578125 574.0128173828125 655.71923828125 610.3954467773438,0.48274773359298706,SPF-9A9,0.906898558139801
296,209.0,456.3199420052192 415.1076709928768 796.7808198265798 728.9046808029918,588.893798828125 576.2861938476562 654.095703125 616.0916748046875,0.5910277366638184,SPF-9A9,0.8281275033950806
297,209.0,435.4354647718476 415.81282641953726 788.6650293004102 734.9151903599275,589.2926025390625 587.0455322265625 650.8416748046875 625.971435546875,0.38889700174331665,SPF-9A9,0.8528329133987427
298,209.0,427.3784454727855 419.49446508190704 787.2027977489081 742.6711869641504,595.8702392578125 593.4442138671875 654.580078125 632.174072265625,0.4927842915058136,SPF-9A9,0.753517746925354
300,209.0,430.951988302414 420.5222432266652 788.7568080859821 750.2841372875156,587.641845703125 598.6851196289062 653.0363159179688 639.8692016601562,0.5449104309082031,SPF-9A9,0.8720197081565857
301,209.0,433.8252463702979 419.3013796761935 790.6600387362153 751.146951097941,589.29150390625 603.2027587890625 652.499755859375 641.0865478515625,0.6006180644035339,SPF-9A9,0.8725830316543579
