frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
6,5.0,1118.0747011578342 602.8523338081102 1607.8329915002146 938.8548200359087,1236.98095703125 814.8748168945312 1321.980224609375 864.6648559570312,0.5382592082023621,SPF-787,0.962833821773529
6,1.0,248.98997764675946 531.1107343550907 677.0066999409108 961.6529740038179,431.2607116699219 771.3162231445312 516.5711669921875 819.79248046875,0.3845197856426239,SPF-9A9,0.9592956304550171
7,1.0,248.40779275409014 534.729624268555 680.3013302434321 970.2798333963262,432.3245849609375 768.8582153320312 515.0562133789062 823.4346313476562,0.6789459586143494,SPF-9A9,0.9618203043937683
7,5.0,1120.6615092682898 605.1790562552931 1611.0998004759292 942.3605892195146,1244.74462890625 819.2715454101562 1325.4122314453125 869.501220703125,0.6172179579734802,SPF-787,0.9851264953613281
7,6.0,791.7831789971783 855.5392491923535 1066.7470612632492 1078.059615056099,898.8114624023438 901.1932983398438 960.6502075195312 947.60302734375,0.2231648564338684,RAFE,0.8314405679702759
8,1.0,249.34274531079438 533.334326535079 682.2681133503863 969.1056108512793,432.6070861816406 769.6561889648438 515.564697265625 824.9280395507812,0.6419775485992432,SPF-9A9,0.9697321057319641
8,5.0,1120.6784384106973 606.7967335759834 1612.1236401133656 944.5009384804393,1242.952392578125 821.178466796875 1321.7392578125 869.36083984375,0.6239715814590454,SPF-787,0.9677090048789978
9,1.0,246.52014497810902 531.6307300955856 676.3855897496995 966.4228408578766,430.99163818359375 763.0032348632812 509.9593505859375 816.1034545898438,0.6840441226959229,SPF-9A9,0.9527782797813416
9,5.0,1118.6028702744527 602.1575401477006 1613.791323444472 941.0906088233754,1234.390380859375 815.5021362304688 1319.59326171875 866.1688842773438,0.6263357996940613,SPF-787,0.9698324799537659
9,6.0,792.9770412686787 856.7648189479669 1065.5080691853357 1078.3439484179776,899.32470703125 897.897705078125 960.5950927734375 940.8719482421875,0.2329765111207962,RAFE,0.6733168363571167
10,1.0,239.6697187529855 514.3615176655251 662.781061299301 947.6582041977024,426.54534912109375 736.3524169921875 510.22857666015625 784.7224731445312,0.6252087950706482,SPF-9A9,0.9580498337745667
10,5.0,1107.2654722196403 579.5457044554294 1588.8083030996427 917.8379648519567,1235.03271484375 786.998291015625 1316.946044921875 835.7471923828125,0.4456004202365875,SPF-787,0.9720162749290466
10,6.0,783.4914701530535 847.6215590997402 1063.1400052134913 1076.6055380939647,896.5922241210938 866.4310913085938 959.4984741210938 909.7604370117188,0.2620985805988312,RAFE,0.785123348236084
11,5.0,1104.1939624219733 563.6227433343116 1572.4996540811524 900.3944859359509,1236.139404296875 773.5398559570312 1316.8155517578125 823.1837768554688,0.6640877723693848,SPF-787,0.9536600112915039
11,1.0,240.60353175227667 494.86106312115726 663.1371894855142 932.0139249648778,430.37713623046875 720.0364379882812 510.8287353515625 773.8125,0.6227033734321594,SPF-9A9,0.9546447992324829
11,6.0,781.0237719335306 833.2729602946835 1065.932273180933 1073.3438706761199,900.1192626953125 858.1881103515625 959.239501953125 898.082275390625,0.26594284176826477,RAFE,0.6166492700576782
12,1.0,239.7818154475631 485.61767545797744 658.1318181388568 921.594381592248,425.6463623046875 711.544189453125 510.93133544921875 761.562744140625,0.6621814966201782,SPF-9A9,0.9632638096809387
